model,family,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,feature_mode,pca_components,C,epsilon,alpha,weight_beta
fusion_svr_pc1_C30.0_e0.25,svr,127,0.7872047642163165,1.560215081058334,-0.1815335106344178,0.2810207506438829,0.2322068198468751,2.959585615317324,2.942392526727849,0.335641613975805,0.8661417322834646,0.905511811023622,1.639017070351827,fusion,1.0,30.0,0.25,,
fusion_svr_pc10_C3.0_e0.25,svr,127,0.7909932889539183,1.4716133518559222,-0.0511496248380825,0.40761964655849603,0.11807303974403503,2.8753829907318615,2.648708494952123,0.4017577219828657,0.889763779527559,0.9133858267716536,1.5252331084674944,fusion,10.0,3.0,0.25,,
fusion_svr_pc3_C30.0_e0.25,svr,127,0.7922974489845216,1.5076888643637876,-0.10331762276370204,0.3502663315100314,0.10869575972992807,2.8047247614250264,2.614281515676394,0.41054840643955764,0.8267716535433071,0.8976377952755905,1.5124149610579758,fusion,3.0,30.0,0.25,,
image_svr_pc5_C30.0_e0.25,svr,127,0.7937273646115858,1.5503092937559342,-0.16657805295846684,0.25154996467614943,0.13594131485996933,2.8881101562673885,2.7254586138999457,0.38898367428450065,0.8031496062992126,0.8976377952755905,1.5572211440922232,image,5.0,30.0,0.25,,
fusion_svr_pc2_C10.0_e0.5,svr,127,0.7937503614364388,1.4406104860054636,-0.0073264644616473085,0.4436780992593743,0.07927145990688023,2.799507364144026,2.5199045723279867,0.43207995534487637,0.889763779527559,0.9133858267716536,1.4759922638364316,fusion,2.0,10.0,0.5,,
image_svr_pc3_C30.0_e0.5,svr,127,0.8019447121335763,1.4503027210352661,-0.02092637622743343,0.46432479323562603,0.06212869620480665,2.7300689594426713,2.5293245969257465,0.4400174981771217,0.84251968503937,0.905511811023622,1.4846710475514342,image,3.0,30.0,0.5,,
image_svr_pc3_C10.0_e0.5,svr,127,0.812907079203449,1.438081921492786,-0.0037934419758467453,0.47421244137740004,0.06056626079146825,2.740088850873084,2.5270545932472106,0.4537523619752323,0.8976377952755905,0.9133858267716536,1.4904034776112214,image,3.0,10.0,0.5,,
image_svr_pc2_C30.0_e0.5,svr,127,0.8153412709201925,1.4286590103276606,0.009318005660802542,0.4927540355161817,0.06515597211746615,2.7355013799512014,2.541435224222333,0.4536834902283155,0.9133858267716536,0.9133858267716536,1.4975593572253243,image,2.0,30.0,0.5,,
fusion_svr_pc3_C10.0_e0.5,svr,127,0.8169928226859356,1.4722669042719747,-0.05208347600541163,0.4800698569554793,0.06722833268807177,2.8348255631430495,2.55499935584628,0.452839072880911,0.8740157480314961,0.905511811023622,1.5039192143635955,fusion,3.0,10.0,0.5,,
fusion_svr_pc2_C30.0_e0.5,svr,127,0.8173542041530941,1.5000780366163933,-0.09220662220819786,0.4158671769219655,0.05512292140441442,2.8277948352757423,2.547751528109814,0.4547947648478765,0.7952755905511811,0.8976377952755905,1.5012731464788454,fusion,2.0,30.0,0.5,,
fusion_svr_pc2_C3.0_e0.5,svr,127,0.8319203142437109,1.4319577109938364,0.004737855868222507,0.4830334976178392,0.04728612936145994,2.7636474291790587,2.5377095076785614,0.4745168641906946,0.9133858267716536,0.9133858267716536,1.506113185934628,fusion,2.0,3.0,0.5,,
image_svr_pc2_C10.0_e0.5,svr,127,0.839872524619349,1.4316856750787283,0.00511596945148185,0.49690022575682313,0.04154271650162481,2.744675572265419,2.5440849005082655,0.4827994553854809,0.9133858267716536,0.9133858267716536,1.5134421779468732,image,2.0,10.0,0.5,,
fusion_svr_pc3_C3.0_e0.5,svr,127,0.8402746400675934,1.440461881691072,-0.007118656258976674,0.49356660179361,0.04533402602848799,2.7831653986113385,2.556188649868235,0.48074979991888755,0.905511811023622,0.9133858267716536,1.5184692248935612,fusion,3.0,3.0,0.5,,
image_svr_pc3_C3.0_e0.5,svr,127,0.8412040992169191,1.4331205010094452,0.003120837785122621,0.4926780681367404,0.040834632723451274,2.7495256409412274,2.5458845217369777,0.4840329630698591,0.9133858267716536,0.9133858267716536,1.5149587424034183,image,3.0,3.0,0.5,,
fusion_svr_pc2_C1.0_e0.5,svr,127,0.8468185187076934,1.4338363302389387,0.002124726908340091,0.4946160135812754,0.0341641986203101,2.7545480992082525,2.542836479560374,0.4914623745290366,0.9133858267716536,0.9133858267716536,1.5171494270447052,fusion,2.0,1.0,0.5,,
fusion_svr_pc3_C1.0_e0.5,svr,127,0.849597096417758,1.4361980183627476,-0.0011652037216600686,0.4980272324856845,0.033492052756315324,2.760881390401279,2.548916407843348,0.4935492406904916,0.9133858267716536,0.9133858267716536,1.52123282426692,fusion,3.0,1.0,0.5,,
image_svr_pc2_C3.0_e0.5,svr,127,0.8497821704929336,1.4341826205381702,0.0016426687436752463,0.4989664279254704,0.0319339796130673,2.7482167253454572,2.544953433260502,0.4946034297225857,0.9133858267716536,0.9133858267716536,1.519778431491544,image,2.0,3.0,0.5,,
image_svr_pc3_C1.0_e0.5,svr,127,0.8499755751563361,1.4342716183269382,0.0015187593468665161,0.4974848717452751,0.03196229051142989,2.7497835900512446,2.5455933849955974,0.4947032721423957,0.9133858267716536,0.9133858267716536,1.5201483285689965,image,3.0,1.0,0.5,,
fusion_svr_pc2_C0.3_e0.5,svr,127,0.8520324715310214,1.4350077420737781,0.0004935778410282143,0.4984049307775411,0.029567583990602615,2.751362006635078,2.5446183420737776,0.4973954319887294,0.9133858267716536,0.9133858267716536,1.5210068870312534,fusion,2.0,0.3,0.5,,
fusion_svr_pc3_C30.0_e0.5,svr,127,0.8521869881394694,1.514007336716368,-0.11258464038255322,0.46928024531299606,-0.00043885877677868465,2.720506271625008,2.502238306481951,0.5064619500105686,0.7952755905511811,0.889763779527559,1.50435012824626,fusion,3.0,30.0,0.5,,
